bookingId,userId,equipmentId,categoryId,rating
bo0000000000000000000000,67a75378a4d20a323e34f09b,eqc3d4e5f678901234567890a,67a3617fda651203f0063170,4
bo0000000000000000000001,use56789abcdef012345678901,eqb2c3d4e5f67890123456789,ez130e4910c0ec43b3a5c2f3,4
bo0000000000000000000002,67a7526ca4d20a323e34f087,eqa1b2c3d4e5f678901234567,ez629e478441dd482cad4a7f,5
bo0000000000000000000003,usb23456789abcdef012345678,67a2f12abf9f5581d325b37b,6799e47f4ed7b7945257ee0f,2
bo0000000000000000000004,67a8b6c1b5a15a64b59d43c0,eq890a1b2c3d4e5f678901234,ez629e478441dd482cad4a7f,5
bo0000000000000000000005,us4e5f67890123456789abcde,eq4e5f67890a1b2c3d4567890,ez629e478441dd482cad4a7f,3
bo0000000000000000000006,us3d4e5f67890123456789abc,eq0a3b5c7d9e8f12345678901,6799e4874ed7b7945257ee12,3
bo0000000000000000000007,usf6789abcdef0123456789012,eq890a1b2c3d4e5f678901234,ez030705746cda4669876725,1
bo0000000000000000000008,us4e5f67890123456789abcde,eq5f67890a1b2c3d4e5678901,67a36194da651203f0063173,3
bo0000000000000000000009,usd456789abcdef01234567890,eq2c3d4e5f67890a1b2345678,ezc17b0871a6bd47b6a6a3ea,4
bo000000000000000000000a,us0a1b2c3d4e5f67890123456,67a36b58afa12e00c89b577d,67a36194da651203f0063173,5
bo000000000000000000000b,67a8b6c1b5a15a64b59d43c0,679c994806bc99d191a368d0,6799e4674ed7b7945257ee09,1
bo000000000000000000000c,us67890123456789abcdef012,679b53ba17fca2c652426291,6799e4874ed7b7945257ee12,2
bo000000000000000000000d,67a8b6c1b5a15a64b59d43c0,eq67890a1b2c3d4e5f7890123,6799e47f4ed7b7945257ee0f,3
bo000000000000000000000e,usd456789abcdef01234567890,eq0a3b5c7d9e8f12345678901,ez35137535043942788c3bed,2
bo000000000000000000000f,usc3456789abcdef0123456789,679b540e17fca2c652426303,6799e4744ed7b7945257ee0c,5
bo0000000000000000000010,67a7526ca4d20a323e34f087,eq5f67890a1b2c3d4e5678901,ez35137535043942788c3bed,1
bo0000000000000000000011,us890123456789abcdef01234,eqd4e5f678901234567890a1b,ezca88908f73c74c558e9899,3
